Nationality,First Language,University Name,Level of Study,How long have you been studying in English-medium Institution?,"Reading Comprehension 
(Understanding academic text)",Listening Skills (Understanding lectures and spoken English),Speaking Skills (Fluency and confidence in spoken communication),Writing Skills (Ability to write academic papers and assignments),I have recived formal English language education since childhood.,My school education prepared me well for English-medium university studies.,My English proficiency has improved since I started my university studies.,English is necessary for my academics success in India.,"Even without strong English proficiency, I believe I can succeed in my studies.","I regularly parctice English outside my academics studies. (Watching moveis, reading books, or speaking with friends)",My motivation to learn English is influenced by career opportunities.,The region I come from has influenced my English Proficiency.,"I actively seek opportunities to improve my English skills. ( joining language courses, speaking clubs, or tutoring)","In a multilingual country like India, English is necessary for effective communication.",My home country's education system provided strong English Language training.,I think foreign students face more language difficulties compared to Indian students in Indian Universities.,Indian students also face challenges with academic English despite growing up in a multilingual environment.,"Language support programs (such as English courses, peer tutoring, or writing centers) should be improved in Indian Universities.",My university provides enough language support for students struggling with English.,"More resources (such as language courses, tutoring, or language labs) should be available to help students improve their English proficiency.",I believe my English skills will improve through social interaction with peers and faculty members.,Language barriers have affected my ability to form friendships and participate in university activities.,What challenges have you faced in learning or using English at your university ?,What strategies or resources have helped you improve your English proficiency ?,"Do you think your university should implement new languages support programs? Yes, what kind ?",Student_Type,Proficiency_Score
Sri Lankan,Sinhalese,Lucknow,Postgraduate,1-5 years,3,3,3,3,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly Agree,I have difficulty understanding because the English accent is different.,English movies,Yes. Spoken English courses,Foreign,3.0
Indian,Marathi,English and Foreign Language University Hyderabad,Postgraduate,More than 5 years,5,5,4,4,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Disagree,Getting right vocabulary during the conversation is tough for me and I usually use simpler words while speaking than writing.,"Reading Novels, Listening to dialogues...",We do have a programs of such kind but I think that the prices should be lowered so it can be accessible to all.,Indian,4.5
Indian,Hindi,University of Lucknow,Postgraduate,More than 5 years,4,4,4,4,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Language barrier,Making notes nad revise them,"Yes, joyful activities",Indian,4.0
Srilankan,Sinhala,University of lucknow,Postgraduate,More than 5 years,4,4,3,4,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Language Barrier,Limited Vocabulary,Academic Writing Workshop,Foreign,3.75
Indian,Hindi,University of Lucknow,Postgraduate,More than 5 years,4,4,3,3,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Because professor's first language is hindi ...nd we connect with that more,Through making friends ....readings english contents,"Yes I think so specially for the foreign students.... whenever the university check the abilities of the future professors ....they should check the fluency of English also, if not so then the professors should try to help the students with language barriers personally",Indian,3.5
Sudan,Arabic,Symbiosis International University,Undergraduate,1-5 years,5,5,4,3,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,During my learning journey it was quite difficult for me to speak smoothly.,"I used to listen to Podcasts, reading books and joining online platforms for speaking practice","I don’t they need to, since everyone is pretty good with English, however they may add some professional English courses.",Foreign,4.25
Indian,English,university of Lucknow,Postgraduate,More than 5 years,3,3,4,4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,People understand less,Pratice day and bring its in our routine,no,Indian,3.5
Sri lankan,Sihala,University of mysore,Postgraduate,More than 5 years,4,4,3,4,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Null,Null,Null,Foreign,3.75
Liberian,English,Datta Meghe Institute of Higher Education,Undergraduate,More than 5 years,4,5,3,4,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,"My peers don't understand my accent, due that I struggle to make the understand.",Watching YouTube videos,,Foreign,4.0
BANGLADESH,Bangla,Jahangirnagar University,Postgraduate,1-5 years,3,3,3,3,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,"Since our mother tongue Bangla so, we all feel comfortable speaking in Bengali. Also, most of our students are shy to speak in English thats why we have less chance of communicate in English",Watching english movie,"Yes, They can open English language club, arrange seminar for learn english",Foreign,3.0
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,3,3,3,3,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Atmosphere,Atmosphere,Yes,Indian,3.0
Jamaica,Patois,Symbiosis,Undergraduate,More than 5 years,4,4,4,4,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,fact that hindi is used in class,reading literature,"yes, 3 credit courses prolly",Foreign,4.0
Indian,Marathi,Savitribai phule pune university,Postgraduate,1-5 years,3,3,2,2,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,I cant speak english very fluently this is one challenge. But slowly we try it. And other hand my friend speak fast more than me..,We have to do practise.with our friend. We should make our circle multiliungle.,No. In my faculty there is no program on languages.,Indian,2.5
Ugandan,English,University of Lucknow,Undergraduate,More than 5 years,3,2,3,3,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly Agree,Understanding is difficult to the people i communicate with.,No strategy,Yes.by teaching all the courses in English,Foreign,2.75
Botswana,English,University of Lucknow,Undergraduate,More than 5 years,4,4,3,4,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly Agree,Sometimes they don’t understand English some of them they dont want to speak English,Reading books and having conversations with my foreign friends not Indians,Just English will help especially for the lecturers,Foreign,3.75
Indian,Marathi,Morden college of arts science and commerce,Undergraduate,More than 5 years,3,3,3,3,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Lacture,No,Yes,Indian,3.0
Indian,Marathi,SPPU,Undergraduate,Less than 1 year,3,5,4,4,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,"Talking to foreign people ,",books and movies,yes,Indian,4.0
Indian,Marathi,Savitribai pule university,Undergraduate,More than 5 years,4,3,3,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly agree,Agree,Teachers did not use english speaking,Don't know,Yes,Indian,3.25
Sri Lankan,Sinhala,"Modern college , pune",Undergraduate,1-5 years,4,3,3,3,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Indian pronunciation and accent,"Speaking in english with foreign students
Watching movies",Yes.,Foreign,3.25
Nigeria,Tiv,Lucknow university,Postgraduate,More than 5 years,5,5,5,5,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly Agree,"Teachers don’t use English so, I’m often not able to understand what is been taught in class",I already know how to read and write English,"Yes 
English language speaking courses for Indians and teachers should be encouraged to teach in English",Foreign,5.0
Indian,Hindi,University of lucknow,Postgraduate,More than 5 years,4,2,3,3,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Understanding,English language news,Yes,Indian,3.0
Sri lankan,Sinhala,University of Lucknow,Postgraduate,More than 5 years,5,5,4,4,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Understanding problem with indian students bcz most of them cannot communicate in English,"Watching movies, speaking with friends, reading newspapers, collecting vocabulary","Yes, they should include English or Hindi as compulsory subjects for every courses",Foreign,4.5
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,4,3,3,3,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Using English words,Some English teaching apps,Yes,Indian,3.25
Sri Lankan,Sinhala,Savitribai Phule Pune University,Postgraduate,More than 5 years,5,5,5,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,I have never faced such challenges as I'm a postgraduate student from the English Department of my university.,"Mostly the academic as well as other reading materials available both online and offline. Also watching movies, drama series, interacting with other international students.","As far as I know there are programs in my university offered by the International Centre, which specially designed to support the international students who lack the English language skills. I'm not aware of any courses or programs available for the Indian students as such.",Foreign,5.0
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,3,2,2,4,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,English lecture not understand,Online Learning,No,Indian,2.75
Gambian,English.,Symbiosis International University,Postgraduate,More than 5 years,5,5,5,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Everything was so well,"Books, NewSPAPER, and other important learning materials.",No,Foreign,4.75
Mauritian,Creole,Lucknow University,Postgraduate,More than 5 years,4,4,4,4,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,"Though english is commonly used as a mean to communicate at my university, the intensity of English proficiency (this comprises the choice of vocabulary, accent, and comprehension of words) varied from person to person, so to facilitate communication I had to rely not only on language but rather emotional intelligence as well. 
",Constant learning and expansion of my English vocabulary has helped me to improve my language skills,"Yes, Language support programs should be provided to facilitate one's communication with the rest. Thereby, both formal and informal Language support programs should be provided for situation-appropriate communication.",Foreign,4.0
Bangladeshi,Chakma,Pune University,Undergraduate,More than 5 years,3,3,3,4,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Using,Motivational video in English medium,Teaching language skill,Foreign,3.25
Congolese,Swahili,Symbiosis,Undergraduate,Less than 1 year,3,2,2,3,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Understanding and Speaking fluently in English,"Speaking, reading, asking questions, listening and watching movies","Definitely, kind of training in English",Foreign,2.5
Indian,Hindi,Delhi University,Postgraduate,More than 5 years,5,5,5,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,I have not faced any challenge but I am aware of the challenges or problems faced by my classmates and peers.,"First and foremost, being a student of Linguistics, that has helped me immensely helped me understand the intricacies of grammar structure, syntactic and phonetic/phonological aspects of English language. Reading good books, watching English movies (without the subtitles), conversing in English whenever possible, checking for correct pronunciation and usage of words.","Yes, I believe program where there are remedial language classes, government funded subsidized language classes, bilingual language classes as well as ESL classes might be helpful for students at the university level. There should also be sufficient and well stocked resource materials and books for students including students with disabilities (for example, VI and HI).",Indian,5.0
Nepali,Nepali,University of Lucknow,Postgraduate,More than 5 years,5,5,4,5,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,I have been faced Less confidence and fluency related challenges .,Daily speaking practices .,Not yet .,Foreign,4.75
Bangladesh,Bangla,University of Lucknow,Undergraduate,Less than 1 year,3,3,3,3,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Overcoming Fear of Speaking and Building Confidence.,"TV shows, movies, news programs and videos on youtube",IELTS course,Foreign,3.0
Indian,Telugu,Bharathiar University,Undergraduate,More than 5 years,4,4,4,5,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Some of the guys not confident on there understanding levels,By Actions while speaking,Best should start from taechers.. taechers must have high level of English to teach students.,Indian,4.25
Egyptian,Arabic,University of Delhi,Undergraduate,More than 5 years,5,5,4,4,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,"Understanding complex academic texts, expressing ideas clearly in writing, participating in discussions confidently, and adapting to different accents and fast speech in lectures.","Practicing regularly through reading, writing, speaking, and listening, using English media (books, podcasts, movies), engaging in conversations with fluent speakers, and utilizing language apps.

","Yes, my university should implement language support programs such as academic writing workshops, conversation clubs, pronunciation training, and tutoring services to help students improve their English proficiency.

",Foreign,4.5
Indian,Marathi,"Savitribai Phule University, Pune",Postgraduate,1-5 years,4,3,3,4,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly Agree,,Good communication,"Yes,Need to improve in better acknowledge",Indian,3.5
Indian,Marathi,Azim Premji University,Postgraduate,1-5 years,3,3,3,4,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,None.,Satisfactory command on grammar . Constant interaction with people fluent at English. Daily reading.,"Yes. They are already providing such programs even before the academic program starts and also during the program they provide help. But, they can introduce new programs for those who want to learn the local language (e.g. Kannada).",Indian,3.25
Mosotho,Sesotho,Lucknow university,Undergraduate,1-5 years,5,4,4,4,Strongly agree,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Indians don't understand English,Reading books,"Yes
English is needed to go International 
English being taught as a subject in all departments",Foreign,4.25
Sri Lankan,Sinhala,Punjab University,Undergraduate,1-5 years,5,5,5,4,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,,Reading,"Yes, IELTS training",Foreign,4.75
Sri Lankan,Sinhala,"University of Mysore , Maharaja College",Postgraduate,1-5 years,4,4,3,3,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Mostly in southern indian universities we can see the understanding difficulties in English accent . Also the exams are tough for the students .,"Attending conferences improve the listening abilities , public speeches , reading research publications and watching interested interviews in any areas or subjects .",Yes . I hope if they provide a platform like English academies that help students to improve their communication . Also if universities provide any support for preparation of Higher education entrance English exams like IELTS that would be a great help for students.,Foreign,3.5
Indian,Marathi,Azim Premji university,Postgraduate,Less than 1 year,3,3,2,2,Strongly disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,"In initial stage I was not able to interact with my classmates and faculty , which affected my academic performance in 1st semester.",ARC(Academic resource centre)support from University helped to decide approach of learning english.and anyways have to attend lectures in english and submit assignments which automatically makes used to with english.,They have already implemented,Indian,2.5
Indian,Malayalam,Azim Premji University,Postgraduate,More than 5 years,5,5,5,5,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,,Consuming more media and active engagement through communication,"Yes, give access to education resources especially of the visual medium for students facing a lots of difficulties.",Indian,5.0
Namibian,English,Lucknow University,Undergraduate,1-5 years,4,4,5,4,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly Agree,Language barrier,Writing essays,English,Foreign,4.25
Sri Lankan,Sinhala,University of lucknow,Postgraduate,1-5 years,3,4,3,3,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,"The challenges I have faced in learning or using English at my university include difficulties in academic writing, and maintaining clarity.Public speaking, editing, and understanding technical terms in media and research were also challenging. However, continuous practice and exposure have helped me improve.

","To improve my English proficiency, I have used academic reading, writing practice, and constant exposure to journalism and media content. Engaging in research, presentations, and scriptwriting has enhanced my skills. Additionally, proofreading, feedback from mentors, and practical experience in theater and media projects have helped me refine my language use.

","Yes, my university should implement language support programs, such as academic writing workshops, public speaking sessions etc. Interactive sessions, peer reviews, and personalized feedback would help students improve their proficiency effectively.

",Foreign,3.25
Fijian,Hindi Fiji Baat,University of Lucknow,Postgraduate,More than 5 years,5,5,5,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Neutral,Understanding indian pronunciation of English words.,Reading extensively,"Writing, reading, listening and speaking workshops, peer tutoring.",Foreign,5.0
Fijian,Hindi,University of Lucknow,Postgraduate,More than 5 years,5,5,4,4,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,The English dialect used by professors or students at my university is hard to understand.,"Reading books, watching English movies or even using English to communicate whenever necessary have helped me a lot .",Yes definitely. Looking at the vast difference in language ( referring to international students with different languages) i guess English should be the medium for communication as well as teaching should be done in English which would help both local and international students .,Foreign,4.5
